"Armed Actors/ Security Personnel Casualties Total","Civilian Casualties Total","Civilians Injured","Civilians Killed","Country","Date","Description","Location"
"0","3","0","3","Afghanistan","2020-01-01","3 killed by roadside bomb in Farah city when car hits bomb","Urban Residential"
"0","4","3","1","Afghanistan","2020-01-04","1 killed and 2 injured by sticky bomb in Mazar-i-Sharif","Road"
"1","0","0","0","Afghanistan","2020-01-08","US drone strike kills leader of breakaway Taliban faction in Herat","Urban Residential"
"0","15","0","15","Afghanistan","2020-01-08","2nd airstrike as they gathered bodies from initial strike in Herat - some report up to 60 civilians killed or injured as well as militants","Urban Residential"
"4","0","0","0","Afghanistan","2020-01-11","Roadside bomb kills 2 US soldiers and injures 2 in Kandahar","No Information"
"5","0","0","0","Afghanistan","2020-01-05","1 police killed and 4 injured in explosion of bomb attached to vehicle ","No Information"
"0","1","0","1","Afghanistan","2020-01-03","1 child killed by roadside bomb in Na-khod-Amodah as he grazed sheep","Village"
"3","0","0","0","Afghanistan","2020-01-11","IED blast in PD1 of Lashkargah city kills 3 police","Armed Base"
"0","10","8","2","Afghanistan","2020-01-14","2 children killed and 8 civilians injured in bomb blast during rush hour in Mazar-i-Sharif","Road"
"1","0","0","0","Afghanistan","2020-01-14","First responders to initial attack In Mazar-i-Sharif targetted in second balsr injuring 1 officer","Road"
"6","0","0","0","Afghanistan","2020-01-16","An airstrike in the Nahr-e-Saraj district in southern Helmand province which has killed at least six Taliban","No Information"
"3","0","0","0","Afghanistan","2020-01-15","Air strike kills 3 Taliban in Khasro district in Nimroz","No Information"
"2","0","0","0","Afghanistan","2020-01-15","2 taliban killed in airstrike conducted in Poshtro district of Farah province","No Information"
"4","0","0","0","Afghanistan","2020-01-16","4 Taliban killed in airstrike on hideout in kandahar","No Information"
"0","5","0","5","Afghanistan","2020-01-16","5 killed including governmnet employees in Zabul","Road"
"11","0","0","0","Afghanistan","2020-01-21","Airstrike on Taliban kills 11 in Ghazni province's Ghelan district","Road"
"4","0","0","0","Afghanistan","2020-01-21","4 Taliban killed in airstrike on Dand in Nawa district","No Information"
"0","7","6","1","Afghanistan","2020-01-22","1 killed and 6 injured in grenade attack on medical store ","Commercial Premises"
"5","0","0","0","Afghanistan","2020-01-22","Military commander and bodyguard killed in roadside bomb in Faryab","No Information"
"4","0","0","0","Afghanistan","2020-01-25","4 Taliban killed in Afghan airstrike in Helmand","No Information"
