Province,District,,
Badakhshan,Arghanj Khwa,,
Badakhshan,Argo,,
Badakhshan,Baharak,,
Badakhshan,Darayem,,
Badakhshan,Darwaz-e-Bala,,
Badakhshan,Darwaz-e-Payin,,
Badakhshan,Eshkashem,,
Badakhshan,Fayzabad,,
Badakhshan,Jorm,,
Badakhshan,Khash,,
Badakhshan,Khwahan,,
Badakhshan,Koran wa Monjan,,
Badakhshan,Keshem,,
Badakhshan,Kohestan,,
Badakhshan,Kofab,,
Badakhshan,Raghestan,,
Badakhshan,Shahr-e-Buzorg,,
Badakhshan,Shighnan,,
Badakhshan,Shaki,,
Badakhshan,Shuhada,,
Badakhshan,Tagab,,
Badakhshan,Teshkan,,
Badakhshan,Wakhan,,
Badakhshan,Warduj,,
Badakhshan,Yaftal-e-Sufla,,
Badakhshan,Yamgan,,
Badakhshan,Yawan,,
Badakhshan,Zebak,,
Badghis,Ab Kamari,,
Badghis,Ghormach,,
Badghis,Jawand,,
Badghis,Muqur,,
Badghis,Murghab,,
Badghis,Qades,,
Badghis,Qala-e-Naw,,
Baghlan,Andarab,,
Baghlan,Baghlan-e-Jadid,,
Baghlan,Borka,,
Baghlan,Dahana-e-Ghori,,
Baghlan,Deh Salah,,
Baghlan,Doshi,,
Baghlan,Firing Gharo,,
Baghlan,Guzargah-e-Nor,,
Baghlan,Khinjan,,
Baghlan,Khost Wa Firing,,
Baghlan,Khwaja Hijran,,
Baghlan,Nahren,,
Baghlan,Pul-e-Hisar,,
Baghlan,Pul-e-Khumri,,
Baghlan,Tala Wa Barfak,,
Balkh,Balkh,,
Balkh,Char Bolak,,
Balkh,Char Kint,,
Balkh,Chimtal,,
Balkh,Dawlatabad,,
Balkh,Dehdadi,,
Balkh,Kaldar,,
Balkh,Khulm,,
Balkh,Kishindeh,,
Balkh,Marmul,,
Balkh,Mazar-e-Sharif,,
Balkh,Nahr-e-Shahi,,
Balkh,Sharak-e-Hayratan,,
Balkh,Sholgareh,,
Balkh,Shortepa,,
Balkh,Zari,,
Bamiyan,Bamyan,,
Bamiyan,Kahmard,,
Bamiyan,Panjab,,
Bamiyan,Sayghan,,
Bamiyan,Shebar,,
Bamiyan,Waras,,
Bamiyan,Yakawlang,,
Daikundi,Keti,,
Daikundi,Gezab,,
Daikundi,Ashtarlay,,
Daikundi,Kajran,,
Daikundi,Khader,,
Daikundi,Meramor,,
Daikundi,Neli,,
Daikundi,Patoo,,
Daikundi,Sang-e-Takht,,
Daikundi,Shahristan,,
Farah,Anardara,,
