,Armed Actors/ Security Personnel Casualties Total,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Location,Province
213,11,0,0,0,Afghanistan,06/06/2020,11 police killed in roadside bomb blast in Khash district,Road,Badakhshan
245,3,0,0,0,Afghanistan,15/06/2020,Roadside bomb kills 2 pro-government militia and 1 injured in Argo district,No Information,Badakhshan
420,6,0,0,0,Afghanistan,14/08/2020,Roadside bomb explosion in Rezakan area of Argo district killed 4 soldier and wounded 2,Road,Badakhshan
26,0,5,0,5,Afghanistan,01/02/2020,Woman and 2 children killed by airstrike or roadside bomb in Badghis,Village,Badghis
28,5,0,0,0,Afghanistan,31/01/2020,5 Taliban killed in airstrike on Badghis,No Information,Badghis
59,0,6,5,1,Afghanistan,17/02/2020,6 injured in roadside bomb blast in Badghis province,Village,Badghis
81,3,0,0,0,Afghanistan,24/02/2020,3 border security killed in roadside bomb blast in Jawand district,Road,Badghis
96,8,0,0,0,Afghanistan,22/03/2020,3 army soldiers killed in car bomb explosion in Badghis,Armed Base,Badghis
307,0,3,0,3,Afghanistan,18/07/2020,"Roadside bomb kills 3, including a child, in Badghis",Road,Badghis
346,29,0,0,0,Afghanistan,13/07/2020,13 Taliban killed in Afghan iarstrikes in Badghis,No Information,Badghis
350,0,2,0,2,Afghanistan,08/07/2020,Roadside bomb kills 2 children in village of Gandah Ab in Ab Kamari ,Village,Badghis
412,0,10,6,4,Afghanistan,19/08/2020,4 killed and 6 wounded in Afghan sirstrikes on Badghisi village where Taliban were suspected to be sheltering,Village,Badghis
419,45,0,0,0,Afghanistan,16/08/2020,25 Taliaban killed and 20 injured in airstrike in Badghis,No Information,Badghis
426,0,6,2,4,Afghanistan,03/08/2020,Afghan mortar fire hits homs in Bala Murghab District killing 4,Urban Residential,Badghis
450,5,0,0,0,Afghanistan,13/09/2020,5 soldiers killed in roadside bomb blast in Badghis,Road,Badghis
615,13,0,0,0,Afghanistan,28/11/2020,13 Taliban killed in Afghan airstrikes in Badghis,No Information,Badghis
622,9,0,0,0,Afghanistan,30/11/2020,Senior official from Afghan armed forces killed in mortar shelling in Badghis,Armed Base,Badghis
645,0,7,5,2,Afghanistan,07/11/2020,2 killed and 5 injured in bomb explosion in Qala-e-Naw city,No Information,Badghis
142,19,0,0,0,Afghanistan,30/03/2020,19 Taliban killed in Afghan airstrikes in Baghlan,No Information,Baghlan
274,4,0,0,0,Afghanistan,18/06/2020,3 police killed and 1 wounded by roadside bomb as they respond to attack in Baghlan,Road,Baghlan
287,7,0,0,0,Afghanistan,03/07/2020,2 police killed and 5 injured in roadside bomb explosion in Baghlan,Road,Baghlan
325,0,1,0,1,Afghanistan,27/07/2020,12yo boy killed by pressure-plate IED in Pul-e-Khumri ,No Information,Baghlan
353,10,0,0,0,Afghanistan,05/08/2020,9 security guards killed when vehicle hit roadside bomb in Baghlan,Road,Baghlan
387,0,10,0,10,Afghanistan,24/08/2020,Airstrike in Baghlan kills 10 people in religious school,School,Baghlan
424,3,0,0,0,Afghanistan,07/08/2020,"Taliban roadside bomb in the Shahr-e-Kohna area of Baghlan-e-Markazi District, killing one soldier ",Road,Baghlan
579,15,0,0,0,Afghanistan,08/11/2020,8 Taliban killed in airstrike on Baghlan province,No Information,Baghlan
665,1,0,0,0,Afghanistan,16/12/2020,1 police killed in landmine blast in Baghlan province,No Information,Baghlan
20,0,9,2,7,Afghanistan,25/01/2020,6 killed in Afghan airstrikes on villages in Balkh,Village,Balkh
31,0,3,0,3,Afghanistan,13/01/2020,"Afghan mortar fire kills 3, including young girl in Balkh",Village,Balkh
33,3,0,0,0,Afghanistan,06/02/2020,3 Taliban killed in Afghan airstrike on Chimtal district,No Information,Balkh
40,1,0,0,0,Afghanistan,09/02/2020,Taliban leader killed in airstrike in chemtal district,Village,Balkh
50,2,0,0,0,Afghanistan,07/02/2020,2 soldiers killed trying to defuse bomb in Balkh,Road,Balkh
52,9,0,0,0,Afghanistan,13/02/2020,9 taliban killed in airstrike in Balkh province,No Information,Balkh
70,1,0,0,0,Afghanistan,27/02/2020,Policeman killed in roadside bomb blast in Balkh,Village,Balkh
159,16,0,0,0,Afghanistan,04/05/2020,16 Taliban killed in Balkh province's Koshinda district,No Information,Balkh
173,0,20,11,9,Afghanistan,11/05/2020,9 civilians killed and 11 injured according to local residents in Balkh - Afghanistan confirm at least 2 injured,Road,Balkh
178,30,0,0,0,Afghanistan,13/05/2020,17 Taliban killed in airstrike in Balkh district - civilians may also have been killed ,No Information,Balkh
217,4,1,0,1,Afghanistan,09/06/2020,Governor and 4 militiamen killed in bomb attack in Balkh province,No Information,Balkh
261,0,1,1,0,Afghanistan,01/07/2020,Roadside bomb explosion in Mazar-e-Sharif city wounds 1,Urban Residential,Balkh
281,5,0,0,0,Afghanistan,11/06/2020,Roadside bomb blast kills 1 soldier and wounds 4 in Balkh,Road,Balkh
303,8,0,0,0,Afghanistan,14/07/2020,8 Taliban killed in airstrike in Balkh province ,Armed Base,Balkh
384,8,0,0,0,Afghanistan,25/08/2020,Car bomb explosion near Balkh district killed 1 soldier and injured 6 near to compound,Armed Base,Balkh
